date,open,high,low,close,volume,quote_volume,type,candle_body,high_low_range,MA_7,MA_30,moving_1d,volatility_7,volumelast7,z_score,tomorrow_close,tomorrow_return
2020-05-03,0.0025393,0.00258,0.00246,0.0025001,167590125.0,420950.8543186,DOGE,-3.9200000000000085e-05,0.00011999999999999988,0.002444828571428571,0.00210676,-1.6483084185680605,3.4904179112089757,0.5622155834498511,1.8328426630460253,0.0024605,-1.5839366425342938
2020-05-04,0.0025011,0.0025094,0.0023375,0.0024605,151515338.0,368279.2105878,DOGE,-4.060000000000001e-05,0.0001719,0.002461242857142857,0.002126453333333333,-1.5839366425342938,3.3581593162038916,0.6016601659418268,1.524202419533887,0.0024738,0.5405405405405382
2020-05-05,0.0024717,0.0025183,0.0024266,0.0024738,83336304.0,205477.6291481,DOGE,2.1000000000001053e-06,9.169999999999968e-05,0.0024822142857142855,0.0021472466666666665,0.5405405405405382,3.2944110947719207,0.347673894864958,1.4735722760089232,0.0024801,0.2546689303904876
2020-05-06,0.0024776,0.0025623,0.0024572,0.0024801,180927494.0,453917.8332488,DOGE,2.499999999999898e-06,0.0001050999999999999,0.002480628571428571,0.002163596666666667,0.2546689303904876,1.885947345104966,0.8420923239710525,1.3906847878545077,0.0026627,7.362606346518294
2020-05-07,0.00248,0.0026975,0.002459,0.0026627,366483103.0,948174.8280381,DOGE,0.00018270000000000005,0.0002385,0.002513442857142857,0.0021858766666666665,7.362606346518294,3.0982382918553117,1.945474786729504,1.9649780401415204,0.0026052,-2.159462200022543
2020-05-08,0.0026632,0.0026894,0.00257,0.0026052,259386572.0,677557.1479049,DOGE,-5.8000000000000326e-05,0.00011940000000000041,0.002532057142857143,0.002205923333333333,-2.159462200022543,3.354571667867393,1.3372440267411774,1.5858729349426162,0.0026075,0.08828496852449788
2020-05-09,0.0026157,0.0026453,0.00251,0.0026075,216543474.0,562426.0916558,DOGE,-8.199999999999874e-06,0.0001353000000000001,0.002541414285714285,0.00222567,0.08828496852449788,3.248023045592175,1.063138601913317,1.4719515322587244,0.0024602,-5.649089165867687
2020-05-10,0.0025986,0.0025986,0.0022425,0.0024602,321215093.0,783225.2741246,DOGE,-0.0001383999999999999,0.0003560999999999998,0.0025357142857142857,0.0022421766666666666,-5.649089165867687,3.9469271611766326,1.4236388168879377,0.8450633215140381,0.0024125,-1.9388667588000938
2020-05-11,0.0024432,0.0025373,0.0022957,0.0024125,192928752.0,468213.1042754,DOGE,-3.0699999999999825e-05,0.00024160000000000023,0.0025288571428571426,0.00225711,-1.9388667588000938,3.9704219570487074,0.8332205945689769,0.6110284087886672,0.0024606,1.9937823834196768
2020-05-12,0.0024045,0.0025132,0.0023993,0.0024606,107312600.0,264048.687036,DOGE,5.60999999999999e-05,0.00011390000000000011,0.0025269714285714286,0.002273553333333333,1.9937823834196768,4.05360231630638,0.456705696696856,0.745655684530275,0.0025245,2.596927578639356
2020-05-13,0.0024605,0.0025425,0.0024433,0.0025245,168041623.0,418515.0146847,DOGE,6.399999999999982e-05,9.920000000000024e-05,0.002533314285714285,0.0022925933333333335,2.596927578639356,4.173682638004413,0.7208059781355127,0.9375429343858175,0.0025813,2.2499504852446064
2020-05-14,0.0025191,0.00265,0.0025,0.0025813,315454837.0,811373.9757881,DOGE,6.22000000000001e-05,0.00014999999999999996,0.002521685714285714,0.0023131166666666672,2.2499504852446064,3.0273512969998992,1.3968041451792468,1.0954356472726727,0.0024888,-3.583465695579735
2020-05-15,0.0025727,0.0025828,0.00246,0.0024888,126538135.0,318661.5576809,DOGE,-8.38999999999996e-05,0.00012280000000000017,0.002505057142857143,0.00233254,-3.583465695579735,3.2075609210738416,0.6117029231252149,0.6669147511207469,0.0025098,0.8437801350048115
2020-05-16,0.0025005,0.0025345,0.0024728,0.0025098,82487862.0,206933.3920906,DOGE,9.299999999999847e-06,6.170000000000004e-05,0.0024911,0.0023497,0.8437801350048115,3.247282889736069,0.4394401105840587,0.7037927619100762,0.0025331,0.9283608255637888
2020-05-17,0.0025084,0.00258,0.002502,0.0025331,103697263.0,264196.2481452,DOGE,2.4699999999999896e-05,7.799999999999994e-05,0.002501514285714286,0.0023680366666666663,0.9283608255637888,2.3306400883863145,0.6620215341306709,0.75401181588965,0.0025379,0.18949113734160186
2020-05-18,0.002525,0.0025899,0.0024987,0.0025379,93527053.0,237501.3709998,DOGE,1.2900000000000151e-05,9.120000000000005e-05,0.0025194285714285713,0.0023844833333333333,0.18949113734160186,2.095294376705286,0.6566202462247952,0.7229824656820051,0.0025487,0.42554868198116735
2020-05-19,0.00254,0.0025775,0.0024903,0.0025487,90146889.0,227798.7734264,DOGE,8.69999999999994e-06,8.719999999999995e-05,0.0025320142857142855,0.00240173,0.42554868198116735,2.022149056156036,0.6439762266775433,0.7227583486601776,0.0025002,-1.9029309059520512
2020-05-20,0.0025394,0.002566,0.0024588,0.0025002,152417725.0,383866.5324658,DOGE,-3.919999999999965e-05,0.0001072,0.0025285428571428575,0.0024191133333333332,-1.9029309059520512,1.9669109019093467,1.1064580834456197,0.4321903128781824,0.0024774,-0.9119270458363465
2020-05-21,0.0025012,0.0025514,0.0024215,0.0024774,205051270.0,511507.0032261,DOGE,-2.3800000000000036e-05,0.00012990000000000007,0.0025137000000000002,0.002436693333333334,-0.9119270458363465,1.6726393286582006,1.6810114922490602,0.24587575772020243,0.0025175,1.6186324372325982
2020-05-22,0.002477,0.00255,0.0024627,0.0025175,107093984.0,269970.584408,DOGE,4.050000000000017e-05,8.730000000000022e-05,0.0025178,0.0024540866666666666,1.6186324372325982,1.201451922091086,0.898415725703393,0.4416547295309106,0.0025271,0.38133068520356694
2020-05-23,0.0025199,0.0025631,0.0024936,0.0025271,160030526.0,405837.2017885,DOGE,7.200000000000175e-06,6.950000000000012e-05,0.0025202714285714285,0.00246995,0.38133068520356694,1.1705537276735039,1.228352007173611,0.4675339083705816,0.0024461,-3.205255035416086
2020-05-24,0.0025356,0.002563,0.002435,0.0024461,160499199.0,403733.5330536,DOGE,-8.949999999999974e-05,0.00012800000000000008,0.002507842857142857,0.002482046666666667,-3.205255035416086,1.6356651601147734,1.159716220246501,-0.3658823974511258,0.0025324,3.5280650831936584
2020-05-25,0.0024379,0.002548,0.00242,0.0025324,280489252.0,702077.5953126,DOGE,9.45000000000004e-05,0.00012800000000000008,0.002507057142857143,0.0024956433333333332,3.5280650831936584,2.2405171778729485,1.6988628193319864,0.512674780626268,0.0024781,-2.144211025114523
2020-05-26,0.0025251,0.0025329,0.0024571,0.0024781,186936703.0,466997.7642974,DOGE,-4.700000000000017e-05,7.58e-05,0.0024969714285714285,0.002497993333333333,-2.144211025114523,2.36445271816821,1.044740460828536,-0.284833511970188,0.0024998,0.8756708768814789
2020-05-27,0.002478,0.0025186,0.0024499,0.0024998,176177359.0,437824.3907332,DOGE,2.179999999999977e-05,6.87000000000001e-05,0.002496914285714286,0.0025031333333333334,0.8756708768814789,2.297804948014747,0.9662794703662644,-0.05237915716924412,0.002523,0.9280742459396804
2020-05-28,0.0024998,0.0025599,0.0024816,0.002523,256317241.0,645907.8753635,DOGE,2.320000000000013e-05,7.82999999999999e-05,0.002503428571428571,0.0025096666666666666,0.9280742459396804,2.27854800932117,1.3515336065660557,0.24550483602501824,0.0025303,0.2893380895759023
2020-05-29,0.0025265,0.0025533,0.0024995,0.0025303,142622163.0,359681.1037209,DOGE,3.799999999999984e-06,5.3800000000000115e-05,0.002505257142857143,0.00251097,0.2893380895759023,2.2028344212128452,0.7324299938180175,0.35585042674187173,0.002618,3.4659921748409284
2020-05-30,0.0025302,0.0026299,0.002526,0.002618,217499962.0,560631.0386615,DOGE,8.780000000000029e-05,0.00010390000000000009,0.002518242857142857,0.002517136666666667,3.4659921748409284,2.55106968692702,1.071773917057464,1.8125038536063551,0.0025599,-2.219251336898402
2020-05-31,0.0026181,0.0026822,0.002543,0.0025599,164715811.0,425526.4192976,DOGE,-5.8200000000000005e-05,0.00013919999999999991,0.0025345,0.0025199700000000003,-2.219251336898402,2.327635049019272,0.8092674542972771,0.7183225993314544,0.0026452,3.3321614125551764
2020-06-01,0.0025492,0.0027,0.0024997,0.0026452,291813951.0,756638.4100097,DOGE,9.599999999999973e-05,0.00020030000000000004,0.0025506142857142857,0.00252341,3.3321614125551764,2.2884594285072777,1.422409001946468,2.0293236658297458,0.0025666,-2.971419930440037
2020-06-02,0.0026565,0.0026647,0.0024696,0.0025666,325981114.0,841648.8315524,DOGE,-8.989999999999996e-05,0.0001950999999999997,0.0025632571428571426,0.0025256266666666667,-2.971419930440037,2.470706375897297,1.4486875835020048,0.6789107768487087,0.0025867,0.7831372243434852
2020-06-03,0.002561,0.002596,0.0025177,0.0025867,130101538.0,333715.9715711,DOGE,2.570000000000003e-05,7.82999999999999e-05,0.0025756714285714286,0.0025298333333333336,0.7831372243434852,2.4687870649852486,0.5956049218947967,0.9469407461259215,0.002623,1.4033324312831006
2020-06-04,0.0025805,0.0026679,0.0025656,0.002623,326193437.0,853836.6994264,DOGE,4.25e-05,0.00010230000000000005,0.0025899571428571427,0.0025348066666666664,1.4033324312831006,2.4884828954054004,1.428053103875393,1.4360183932596307,0.0025907,-1.231414410979789
2020-06-05,0.002623,0.0026288,0.00258,0.0025907,114071897.0,296241.1084868,DOGE,-3.2299999999999864e-05,4.880000000000032e-05,0.0025985857142857144,0.0025384933333333333,-1.231414410979789,2.583013616962688,0.5084784850900615,0.8511376727872875,0.0025926,0.0733392519396299
2020-06-06,0.0025834,0.0025999,0.0025507,0.0025926,101549796.0,261860.9801569,DOGE,9.200000000000007e-06,4.920000000000011e-05,0.0025949571428571425,0.0025361566666666667,0.0733392519396299,2.1933109240355733,0.48874801287454167,0.9787609333974984,0.0025987,0.23528504204272813
2020-06-07,0.0025899,0.0026135,0.00255,0.0025987,132911616.0,342257.8998906,DOGE,8.79999999999978e-06,6.349999999999975e-05,0.0026005,0.00253594,0.23528504204272813,1.9881078809044437,0.653989907204876,1.0931619080096502,0.0025786,-0.7734636549043712
2020-06-08,0.0025912,0.0026038,0.0025505,0.0025786,121989865.0,314335.926134,DOGE,-1.2600000000000198e-05,5.330000000000005e-05,0.002590985714285714,0.0025349766666666667,-0.7734636549043712,1.4553273096991342,0.6816168241950825,0.7734235596379537,0.0025586,-0.7756146746296461
2020-06-09,0.0025848,0.0025888,0.00249,0.0025586,116938419.0,298457.6589451,DOGE,-2.6200000000000095e-05,9.880000000000002e-05,0.0025898428571428573,0.0025382566666666668,-0.7756146746296461,0.9441003702938238,0.7842527252963836,0.3716280556190672,0.0025761,0.6839677948878353
2020-06-10,0.0025586,0.0025953,0.0025409,0.0025761,113128228.0,289821.6848484,DOGE,1.7500000000000154e-05,5.440000000000002e-05,0.0025883285714285715,0.00254371,0.6839677948878353,0.9303198037658256,0.7712412428134858,0.6517389356667899,0.0024463,-5.038624277007872
2020-06-11,0.00258,0.0025938,0.0023801,0.0024463,169023974.0,421840.1084492,DOGE,-0.00013369999999999962,0.00021369999999999983,0.002563085714285714,0.0025432333333333334,-5.038624277007872,1.9137720564214296,1.3605669836458838,-1.9163175717251844,0.0025,2.1951518619956603
2020-06-12,0.0024463,0.002525,0.0024351,0.0025,133287436.0,331958.4995403,DOGE,5.369999999999984e-05,8.989999999999996e-05,0.002550128571428571,0.0025424166666666668,2.1951518619956603,2.246605279221208,1.0497088882082282,-0.8302142288788404,0.0025241,0.9639999999999995
2020-06-13,0.002514,0.0025338,0.0024869,0.0025241,93631744.0,235195.5829396,DOGE,1.0099999999999866e-05,4.690000000000033e-05,0.0025403428571428572,0.00254051,0.9639999999999995,2.307928601975259,0.7440274876624864,-0.32395250571608786,0.0024972,-1.0657263975278255
2020-06-14,0.0025135,0.0025319,0.002482,0.0024972,65658290.0,164610.2118627,DOGE,-1.629999999999991e-05,4.990000000000029e-05,0.002525842857142857,0.00254079,-1.0657263975278255,2.304526915235118,0.5648663871726464,-0.8651836302214487,0.0024743,-0.917027070318764
2020-06-15,0.0024886,0.0024941,0.0023963,0.0024743,147058752.0,357761.1497187,DOGE,-1.4300000000000077e-05,9.779999999999988e-05,0.0025109428571428575,0.0025396066666666666,-0.917027070318764,2.307542790099589,1.2273498488708796,-1.2671322608239322,0.0024855,0.45265327567392144
